IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZUZANNA,KOBIETA,7351
JULIA,KOBIETA,7351
ZOFIA,KOBIETA,7073
HANNA,KOBIETA,6658
MAJA,KOBIETA,6508
LENA,KOBIETA,5446
ALICJA,KOBIETA,5139
OLIWIA,KOBIETA,4979
LAURA,KOBIETA,4954
MARIA,KOBIETA,4650
POLA,KOBIETA,4060
AMELIA,KOBIETA,3996
EMILIA,KOBIETA,3898
ANTONINA,KOBIETA,3719
WIKTORIA,KOBIETA,3673
ALEKSANDRA,KOBIETA,3444
MARCELINA,KOBIETA,3414
LILIANA,KOBIETA,3198
IGA,KOBIETA,2949
HELENA,KOBIETA,2753
KLARA,KOBIETA,2751
NATALIA,KOBIETA,2653
MICHALINA,KOBIETA,2644
GABRIELA,KOBIETA,2566
NADIA,KOBIETA,2402
ANNA,KOBIETA,2356
BLANKA,KOBIETA,2117
KORNELIA,KOBIETA,2107
MILENA,KOBIETA,1914
ŁUCJA,KOBIETA,1897
JAGODA,KOBIETA,1843
NELA,KOBIETA,1731
KAJA,KOBIETA,1604
NIKOLA,KOBIETA,1491
MARTYNA,KOBIETA,1454
ANASTAZJA,KOBIETA,1369
BARBARA,KOBIETA,1353
LILIANNA,KOBIETA,1352
NINA,KOBIETA,1339
WERONIKA,KOBIETA,1322
KAROLINA,KOBIETA,1181
AGATA,KOBIETA,1152
MATYLDA,KOBIETA,1137
MIA,KOBIETA,1114
ANIELA,KOBIETA,1109
MAGDALENA,KOBIETA,979
RÓŻA,KOBIETA,897
KINGA,KOBIETA,877
ROZALIA,KOBIETA,867
SARA,KOBIETA,858
ELIZA,KOBIETA,851
ADRIANNA,KOBIETA,799
JOANNA,KOBIETA,722
LIWIA,KOBIETA,715
IZABELA,KOBIETA,711
KALINA,KOBIETA,709
MAŁGORZATA,KOBIETA,703
GAJA,KOBIETA,685
PAULINA,KOBIETA,656
AURELIA,KOBIETA,588
MARIANNA,KOBIETA,578
LIDIA,KOBIETA,568
KATARZYNA,KOBIETA,555
MELANIA,KOBIETA,549
MARTA,KOBIETA,540
URSZULA,KOBIETA,529
MALWINA,KOBIETA,522
