IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
NIKODEM,MĘŻCZYZNA,5772
ANTONI,MĘŻCZYZNA,5253
LEON,MĘŻCZYZNA,5079
JAN,MĘŻCZYZNA,5054
ALEKSANDER,MĘŻCZYZNA,4687
FRANCISZEK,MĘŻCZYZNA,4548
IGNACY,MĘŻCZYZNA,4222
STANISŁAW,MĘŻCZYZNA,3554
JAKUB,MĘŻCZYZNA,3386
MIKOŁAJ,MĘŻCZYZNA,3215
MAKSYMILIAN,MĘŻCZYZNA,2760
FILIP,MĘŻCZYZNA,2663
OLIWIER,MĘŻCZYZNA,2453
WOJCIECH,MĘŻCZYZNA,2366
ADAM,MĘŻCZYZNA,2326
MARCEL,MĘŻCZYZNA,2252
SZYMON,MĘŻCZYZNA,2145
TYMON,MĘŻCZYZNA,2139
GABRIEL,MĘŻCZYZNA,2035
JULIAN,MĘŻCZYZNA,1925
WIKTOR,MĘŻCZYZNA,1886
KACPER,MĘŻCZYZNA,1885
OSKAR,MĘŻCZYZNA,1825
MICHAŁ,MĘŻCZYZNA,1652
MIŁOSZ,MĘŻCZYZNA,1558
IGOR,MĘŻCZYZNA,1475
TYMOTEUSZ,MĘŻCZYZNA,1396
TEODOR,MĘŻCZYZNA,1221
PIOTR,MĘŻCZYZNA,1146
BRUNO,MĘŻCZYZNA,1052
TADEUSZ,MĘŻCZYZNA,1050
HENRYK,MĘŻCZYZNA,985
CEZARY,MĘŻCZYZNA,939
DAWID,MĘŻCZYZNA,912
HUBERT,MĘŻCZYZNA,906
KRZYSZTOF,MĘŻCZYZNA,878
MILAN,MĘŻCZYZNA,825
DOMINIK,MĘŻCZYZNA,755
KAROL,MĘŻCZYZNA,721
NATAN,MĘŻCZYZNA,671
BARTOSZ,MĘŻCZYZNA,668
ARTUR,MĘŻCZYZNA,651
KSAWERY,MĘŻCZYZNA,650
MATEUSZ,MĘŻCZYZNA,619
JÓZEF,MĘŻCZYZNA,612
KAZIMIERZ,MĘŻCZYZNA,610
LEO,MĘŻCZYZNA,601
LEONARD,MĘŻCZYZNA,573
FABIAN,MĘŻCZYZNA,564
DANIEL,MĘŻCZYZNA,554
MARK,MĘŻCZYZNA,521
MACIEJ,MĘŻCZYZNA,517
WITOLD,MĘŻCZYZNA,496
TOMASZ,MĘŻCZYZNA,495
BORYS,MĘŻCZYZNA,491
ALAN,MĘŻCZYZNA,489
KORNEL,MĘŻCZYZNA,471
FELIKS,MĘŻCZYZNA,466
KAJETAN,MĘŻCZYZNA,444
STEFAN,MĘŻCZYZNA,436
PAWEŁ,MĘŻCZYZNA,406
ERYK,MĘŻCZYZNA,405
FLORIAN,MĘŻCZYZNA,399
EMIL,MĘŻCZYZNA,398
KUBA,MĘŻCZYZNA,385
MIESZKO,MĘŻCZYZNA,376
REMIGIUSZ,MĘŻCZYZNA,373
KONSTANTY,MĘŻCZYZNA,365
KAMIL,MĘŻCZYZNA,357
BARTŁOMIEJ,MĘŻCZYZNA,348
GUSTAW,MĘŻCZYZNA,337
LIAM,MĘŻCZYZNA,317
OLAF,MĘŻCZYZNA,317
GRZEGORZ,MĘŻCZYZNA,314
ADRIAN,MĘŻCZYZNA,310
JERZY,MĘŻCZYZNA,295
TOBIASZ,MĘŻCZYZNA,286
DAVID,MĘŻCZYZNA,257
RYSZARD,MĘŻCZYZNA,255
MAKSYM,MĘŻCZYZNA,238
PATRYK,MĘŻCZYZNA,234
DAMIAN,MĘŻCZYZNA,229
BENIAMIN,MĘŻCZYZNA,226
ROBERT,MĘŻCZYZNA,226
JULIUSZ,MĘŻCZYZNA,212
SEBASTIAN,MĘŻCZYZNA,206
LUCJAN,MĘŻCZYZNA,204
ALEX,MĘŻCZYZNA,198
NATANIEL,MĘŻCZYZNA,198
MARCIN,MĘŻCZYZNA,195
MATVII,MĘŻCZYZNA,195
KRYSTIAN,MĘŻCZYZNA,194
MAURYCY,MĘŻCZYZNA,193
OLIVIER,MĘŻCZYZNA,190
JEREMI,MĘŻCZYZNA,189
RAFAŁ,MĘŻCZYZNA,181
ALEKS,MĘŻCZYZNA,178
ALEXANDER,MĘŻCZYZNA,177
ARTEM,MĘŻCZYZNA,175
ŁUKASZ,MĘŻCZYZNA,174
SAMUEL,MĘŻCZYZNA,169
EDWARD,MĘŻCZYZNA,168
ALBERT,MĘŻCZYZNA,163
KONRAD,MĘŻCZYZNA,161
TEO,MĘŻCZYZNA,161
MAREK,MĘŻCZYZNA,157
TYMOFII,MĘŻCZYZNA,154
RADOSŁAW,MĘŻCZYZNA,153
DAMIR,MĘŻCZYZNA,147
